SimulationTime(s),VehicleID,Speed(km/h),Acceleration(m/s^2),Distance(odometer),Latitude,Longitude,FuelConsumption(mg/s),EletricEnergyConsumption(Wh/s),NoiseEmission(dB),CO2Emission(g)
1.0,vehTest,0.0,0.0,0.0,-5.82020317866637,-35.220851548872304,837.2222222222222,0.0,55.94027641010837,0.7517880708833891
2.0,vehTest,7.121918091662228,1.9783105810172856,1.9783105810172854,-5.820186435433326,-35.22084527383372,1090.5233771563023,0.0,65.4036478632566,1.12745123029144
3.0,vehTest,13.204113137796522,1.6894986239261927,5.646119785960764,-5.820155393297666,-35.22083363984574,1234.2916771191317,0.0,64.83459396754418,1.2235709144521252
4.0,vehTest,17.98461215766147,1.3279163944069303,10.641845385311173,-5.820113112473449,-35.22081779381956,1244.4804998237594,0.0,63.862992086958286,1.2545410617183217
5.0,vehTest,27.02888089444489,2.5122968713287266,18.14986785599031,-5.820049569073155,-35.22079397900301,2235.8161645007,0.0,70.10097927112855,1.2752023843435174
6.0,vehTest,34.483685955656696,2.0707791836699467,27.728669510339394,-5.819968499834896,-35.22076359586002,2319.6150235632413,0.0,69.19752021692301,1.1058678349951079
7.0,vehTest,38.88942360587137,1.2238160139485217,38.531287178636994,-5.819877072944912,-35.22072933089187,1781.439809014016,0.0,66.44227736211134,1.2387071693899159
8.0,vehTest,27.85790778340492,-3.064309950685127,46.26959489624947,-5.819811580536147,-35.22070478565943,0.0,0.0,54.26835756615159,0.35807782221644135
9.0,vehTest,22.310968214854228,-1.5408165468196362,52.46708606704231,-5.81977190641092,-35.22066931532525,0.0,0.0,54.25517982657246,0.7893720412580484
10.0,vehTest,23.395903974309192,0.3013710442930462,58.965948282128196,-5.819781807742785,-35.22061258019547,836.8270508966372,0.0,60.43688183746789,1.2638703879944637
11.0,vehTest,32.74278622451574,2.59635618061293,68.061166677827,-5.8198083560137,-35.22053488690305,2631.1876139331785,0.0,71.19000797729237,1.3664614336844056
12.0,vehTest,40.64549901056439,2.195197996124625,79.35158306965045,-5.819841311894406,-35.220438441746715,2749.6762914925635,0.0,70.55012496841067,1.5544473292092016
13.0,vehTest,46.70278699312695,1.6825799951562654,92.32457945663016,-5.819879179085089,-35.22032762361076,2536.449728609529,0.0,69.35698493585369,1.0203394573113038
14.0,vehTest,49.92791863493041,0.895869900500962,106.19344574411083,-5.819919661234036,-35.220209152736174,1777.7926380000442,0.0,67.05354895036973,0.7897518039010221
15.0,vehTest,49.80906343437151,-0.03301533348858321,120.02929669810291,-5.819960046995339,-35.2200909638605,705.9156583076818,0.0,64.45397584934685,0.511787597734524
16.0,vehTest,40.55553742901174,-2.570423890377713,131.2947237617173,-5.819992929877764,-35.219994732091266,0.0,0.0,59.01567285332835,0.3880444068617251
17.0,vehTest,29.60139597375164,-3.042817070905585,139.5173337544261,-5.820016931012322,-35.219924492727785,0.0,0.0,54.98534740237892,0.42311261853103926
18.0,vehTest,13.401395973751638,-4.5,143.23994374713487,-5.820027797008136,-35.21989269336229,0.0,0.0,45.41422072787157,0.4624228501037227
19.0,vehTest,22.402297640305328,2.5002504629315805,149.46280420277526,-5.82004644477625,-35.21983969773086,1970.1593560922224,0.0,69.47342362363739,1.55757330642028
20.0,vehTest,30.494167892022375,2.2477417365880683,157.9334063950037,-5.8200719367094305,-35.21976759588612,2249.2318662401763,0.0,69.41280601702108,1.3805911566153566
